Purchase phase,Category,Item,Qty,Required?,Basis,Source link,Notes,Unit Cost Estimate,Extended Cost Estimate,Quote Status
INITIAL PURCHASE,Frame,KDY0523 SpotMicro printed frame using _cls and non-mega files,1 set,Yes,Mike4192 uses the KDY0523 frame and says the CLS6336HV files fit his PDI-HV5523MG servos,https://www.thingiverse.com/thing:3445283,Use the local KDY ZIPs and exact STL selection CSV; do not print the RViz meshes.,0.0,0.0,STLs already obtained
INITIAL PURCHASE,Robot computer,Raspberry Pi 3 Model B,1,Yes for original compatibility,Exact Mike4192 robot computer,https://www.amazon.com/s?k=Raspberry+Pi+3+Model+B,Preserves the original Ubuntu 16.04 and ROS Kinetic configuration.,35.0,35.0,Historical estimate; obtain exact quote
INITIAL PURCHASE,Robot computer,Raspberry Pi 4 Model B 4GB,1,Yes primary ROS2 candidate,Explicit project modernization addition for ROS 2 Humble,https://www.amazon.com/s?k=Raspberry+Pi+4+Model+B+4GB,Primary candidate for the physical ROS 2 port; PCA9685 driver power and mount require validation.,55.0,55.0,Estimate; obtain exact reseller quote
INITIAL PURCHASE,Robot computer,Raspberry Pi 5 8GB,1,Yes development candidate,Explicit project modernization addition for ROS 2 testing,https://www.amazon.com/s?k=Raspberry+Pi+5+8GB,Secondary development platform; requires active cooling and validated robot power.,80.0,80.0,Estimate; obtain exact reseller quote
INITIAL PURCHASE,Computer power,Official Raspberry Pi 15W USB-C supply for Pi 4,1,Yes,Required bench accessory for the explicitly added Pi 4,https://www.amazon.com/s?k=Official+Raspberry+Pi+15W+USB-C+supply+for+Pi+4,Raspberry Pi recommends 5V 3A for Pi 4.,12.0,12.0,Estimate; obtain exact quote
INITIAL PURCHASE,Computer power,Official Raspberry Pi 27W USB-C supply for Pi 5,1,Yes,Required bench accessory for the explicitly added Pi 5,https://www.amazon.com/s?k=Official+Raspberry+Pi+27W+USB-C+supply+for+Pi+5,Raspberry Pi recommends 5V 5A for Pi 5.,12.0,12.0,Estimate; obtain exact quote
INITIAL PURCHASE,Computer cooling,Raspberry Pi 5 Active Cooler,1,Yes,Required support for the explicitly added Pi 5,https://www.amazon.com/s?k=Raspberry+Pi+5+Active+Cooler,Verify clearance before installing the Pi 5 on the robot.,5.0,5.0,Estimate; obtain exact quote
INITIAL PURCHASE,Computer protection,Nonconductive cases or standoff kits for Pi 3 Pi 4 and Pi 5,3 sets,Yes,Basic workstation and board-protection equipment,https://www.amazon.com/s?k=Nonconductive+cases+or+standoff+kits+for+Pi+3+Pi+4+and+Pi+5,Final robot mounts are separate future mechanical work.,10.0,30.0,Estimate; attach selected listing
INITIAL PURCHASE,Storage,64GB A2 microSD cards,3,Yes,One boot image per Pi,https://www.amazon.com/s?k=64GB+A2+microSD+cards,Mike requires an SD-card image and discusses swap on the Pi 3 card.,12.0,36.0,Estimate; attach selected listing
INITIAL PURCHASE,Storage,USB microSD reader,1,Yes,Basic workstation equipment for imaging and recovery,https://www.amazon.com/s?k=USB+microSD+reader,None,10.0,10.0,Estimate; attach selected listing
INITIAL PURCHASE,Display cables,Micro-HDMI to HDMI cables for Pi 4 and Pi 5,2,Yes,Basic workstation equipment for direct Pi setup,https://www.amazon.com/s?k=Micro-HDMI+to+HDMI+cables+for+Pi+4+and+Pi+5,Pi 3 uses full-size HDMI.,8.0,16.0,Estimate; attach selected listing
INITIAL PURCHASE,USB,Powered USB hub,1,Yes,Basic workstation equipment for debug and robot peripherals,https://www.amazon.com/s?k=Powered+USB+hub,Useful for lidar storage keyboard and other peripherals without exhausting Pi USB power.,25.0,25.0,Estimate; attach selected listing
INITIAL PURCHASE,Servo controller,PCA9685 16-channel I2C PWM servo-control board,1,Yes,Exact Mike4192 servo-control board,https://www.amazon.com/s?k=PCA9685+16-channel+I2C+PWM+servo-control+board,The cometyang ROS 2 i2cpwm_board package is interfaces only; a physical ROS 2 driver remains required.,14.95,14.95,Reference price; verify quote
INITIAL PURCHASE,Servos,PDI-HV5523MG or approved matching _cls-compatible high-voltage servos,12,Yes,Exact Mike4192 quantity and original model,https://www.amazon.com/s?k=PDI-HV5523MG+or+approved+matching+_cls-compatible+high-voltage+servos,Fit-test one sample before releasing the remaining 11; every installed servo must match.,26.39,316.68,Exact replacement requires approval
