Print set,Part / model,Qty,Material suggestion,Source / download,Repo/source basis,Notes
Core KDY0523 frame,Complete Spot Micro frame set for CLS6336HV-compatible servos,1 full set,PLA/PETG; flexible filament for paws if available,https://www.thingiverse.com/thing:3445283,"Repo README says use KDY0523 Thingiverse files; KDY0523 summary says print _cls files for CLS6336HV and _mg files for MG995/MG996R.","For the Mike repo build, use the _cls servo-upgrade files because Mike says the CLS6336HV files fit his HV5523MG servos."
Core KDY0523 exact selection,Exact local STL print/skip manifest,1 spreadsheet,N/A,docs/SPOTMICRO_KDY0523_EXACT_STL_SELECTION.csv,"Generated from the corrected two local KDY0523 ZIP files you provided.","Use this exact-selection spreadsheet before slicing; the rear/back cover files are now present."
Core KDY0523 download audit,Local ZIP completeness check,1 note,N/A,docs/SPOTMICRO_KDY0523_DOWNLOAD_AUDIT.md,"Both corrected local ZIPs were inspected; part 1 contains the missing rear/back cover files and part 2 contains the main STL set.","ZIP set is now complete enough for exact print selection."
Core KDY0523 frame,Servo-specific files marked _cls,as present in STL zip,PLA/PETG,https://www.thingiverse.com/thing:3445283,"KDY0523 summary: Uploaded upgrade parts for CLS6336HV servo; print the file ~_cls.","Use these for Mike/HV5523MG-style build unless a specific part has no servo marking."
Core KDY0523 frame,Servo-specific files marked _mg,0 for Mike repo unless using MG995/MG996R,PLA/PETG,https://www.thingiverse.com/thing:3445283,"KDY0523 summary: if using MG995 or MG996R servo, print the ~_mg file.","Do not mix _mg and _cls files on the same leg unless you intentionally change servo geometry."
Core KDY0523 frame,Files with no servo marking,as present in STL zip,PLA/PETG / flexible for paws,https://www.thingiverse.com/thing:3445283,"KDY0523 summary: a file without markings is part of any servo type.","These are shared parts."
Core KDY0523 frame,Non-mega plate / electronics plate,1,PLA/PETG,https://www.thingiverse.com/thing:3445283,"KDY0523 summary: if using a different board than Arduino Mega, redesign the plate file yourself and print the non-mega file instead of the regular file.","For Mike repo, use Pi/PCA9685 mount add-ons too; exact plate choice should be confirmed against downloaded STL names."
Print settings,General print settings,N/A,"10-20% infill; PLA and flexible filament",https://www.thingiverse.com/thing:3445283,"KDY0523 summary: Creality Ender 3, 10~20% infill, PLA/Flexible, yellow/black/gray.","Material/color are not function-critical, but flexible paws help traction."
Core KDY0523 frame,Left sidewall,1,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,Skeleton part.
Core KDY0523 frame,Right sidewall,1,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,Skeleton part.
Core KDY0523 frame,Computer slab / electronics plate,1,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,Skeleton part.
Core KDY0523 frame,Inner shoulder,2,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,Base KDY shoulder parts; see Mike reinforcement option below.
Core KDY0523 frame,Outer shoulder,2,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,Base KDY shoulder parts; see Mike reinforcement option below.
Core KDY0523 frame,Top cover,1,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,Body covering.
Core KDY0523 frame,Bottom cover,1,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,Body covering.
Core KDY0523 frame,Head/front cover,1,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,Body covering. Some builders refer to this as F_cover/front cover.
Core KDY0523 frame,Hindquarters/rear cover,1,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,Body covering. Some builders refer to this as R_cover/back cover.
Core KDY0523 frame,Forelimb,4,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,"Leg part: print 2 original orientation and 2 mirrored if the source does not already provide left/right files."
Core KDY0523 frame,Midlimb,4,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,"Leg part: print 2 original orientation and 2 mirrored if needed."
Core KDY0523 frame,Midlimb cover,4,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,"Leg part: print 2 original orientation and 2 mirrored if needed."
Core KDY0523 frame,Upperlimb,4,PLA/PETG,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,"Leg part: print 2 original orientation and 2 mirrored if needed."
Core KDY0523 frame,Paw / foot,4,TPU preferred; PLA/PETG workable for rigid test build,https://www.thingiverse.com/thing:3445283,SpotMicroAI getting-started 3D print list,"SpotMicroAI notes paws can be flexible filament."
Mike custom reinforcement,Modified shoulder assembly set,1 full robot set,PLA/PETG,https://www.thingiverse.com/thing:4591999,physical/spotMicro/docs/additional_hardware_description.md,"Optional but repo-documented reinforcement. Print an entire shoulder-joint set; two sets must be mirrored for opposite-side legs. Requires extra 8x M3x10 screws, 8x M3 nuts, 4x F625ZZ bearings."
Mike custom electronics mounts,Plain center body platform,1,PLA/PETG,https://www.thingiverse.com/thing:4596267,physical/spotMicro/docs/additional_hardware_description.md,Optional convenience platform.
Mike custom electronics mounts,Raspberry Pi 3 mounting platform,1,PLA/PETG,https://www.thingiverse.com/thing:4596267,physical/spotMicro/docs/additional_hardware_description.md,Attach with double-sided foam tape / small screws as documented.
Mike custom electronics mounts,PCA9685 servo-board mounting platform,1,PLA/PETG,https://www.thingiverse.com/thing:4596267,physical/spotMicro/docs/additional_hardware_description.md,Attach with small wood screws as documented.
Mike custom lidar mount,RPLidar A1 bottom platform,1,PLA/PETG,https://www.thingiverse.com/thing:4713180,physical/spotMicro/docs/additional_hardware_description.md,Optional; only needed if adding RPLidar A1.
Mike custom lidar mount,RPLidar A1 mount adapter,1,PLA/PETG,https://www.thingiverse.com/thing:4713180,physical/spotMicro/docs/additional_hardware_description.md,Uses 4x M2.5x8 screws into RPLidar A1 plus small wood screws to bottom platform.
Do not print from repo,RViz/URDF STL visualization meshes,0,N/A,mike_mujoco_ws/src/spotMicro/spot_micro_rviz/urdf/stl/,"Repo README explicitly says these STL files are only for RViz visualization and should not be used for 3D printing.","Files include mainbody/frontpart/backpart/arms/feet/lidar mesh. They make RViz look right; they are not the manufacturing source."
Comparison only - OROBOT ESP32,SpotMicroESP32 print set,0 unless intentionally switching variants,PLA/PETG,https://orobot.io/o/program/BROKER-2/spotmicro-esp32,"OROBOT page says this is Michael Kubina's ESP32 no-ROS redesign, not Mike4192 ROS/Pi.","Do not use this print/BOM set for the current repo unless you intentionally pivot to the ESP32 build."
